Company Name,Ticker,Sector
MMTC Limited,MMTC,Trading & Distributors
Rail Vikas Nigam Limited,RVNL,Civil Construction
Indian Railway Finance Corporation Limited,IRFC,Financial Institution
Hindustan Copper Limited,HINDCOPPER,Copper
Gujarat Mineral Development Corporation Limited,GMDCLTD,Industrial Minerals
Railtel Corporation Of India Limited,RAILTEL,Other Telecom Services
Karur Vysya Bank Limited,KARURVYSYA,Private Sector Bank
NBCC (India) Limited,NBCC,Civil Construction
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH,Railway Wagons
Craftsman Automation Limited,CRAFTSMAN,Auto Components & Equipments
Ircon International Limited,IRCON,Civil Construction
Indian Railway Catering And Tourism Corporation Limited,IRCTC,Tour Travel Related Services
RITES Limited,RITES,Civil Construction
Leela Palaces Hotels & Resorts Limited,THELEELA,Hotels & Resorts
Aster DM Healthcare Limited,ASTERDM,Hospital
National Aluminium Company Limited,NATIONALUM,Aluminium
Shipping Corporation Of India Limited,SCI,Shipping
Castrol India Limited,CASTROLIND,Lubricants
Housing & Urban Development Corporation Limited,HUDCO,Financial Institution
Dalmia Bharat Limited,DALBHARAT,Cement & Cement Products
Asahi India Glass Limited,ASAHIINDIA,Auto Components & Equipments
The New India Assurance Company Limited,NIACL,General Insurance
Ola Electric Mobility Limited,OLAELEC,2/3 Wheelers
PTC Industries Limited,PTCIL,Other Industrial Products
Titan Company Limited,TITAN,Gems Jewellery And Watches
Sonata Software Limited,SONATSOFTW,Computers - Software & Consulting
Container Corporation of India Limited,CONCOR,Logistics Solution Provider
Gillette India Limited,GILLETTE,Personal Care
Multi Commodity Exchange of India Limited,MCX,Exchange and Data Platform
Engineers India Limited,ENGINERSIN,Civil Construction
International Gemmological Institute (India) Limited,IGIL,Diversified Commercial Services
Linde India Limited,LINDEINDIA,Industrial Gases
Indian Renewable Energy Development Agency Limited,IREDA,Financial Institution
Hindustan Zinc Limited,HINDZINC,Zinc
Graphite India Limited,GRAPHITE,Electrodes & Refractories
Garden Reach Shipbuilders & Engineers Limited,GRSE,Aerospace & Defense
Adani Energy Solutions Limited,ADANIENSOL,Power Distribution
HBL Engineering Limited,HBLENGINE,Other Industrial Products
HEG Limited,HEG,Electrodes & Refractories
APL Apollo Tubes Limited,APLAPOLLO,Iron & Steel Products
The India Cements Limited,INDIACEM,Cement & Cement Products
Onesource Specialty Pharma Limited,ONESOURCE,Pharmaceuticals
ITC Hotels Limited,ITCHOTELS,Hotels & Resorts
Fertilizers and Chemicals Travancore Limited,FACT,Fertilizers
IPCA Laboratories Limited,IPCALAB,Pharmaceuticals
Torrent Power Limited,TORNTPOWER,Integrated Power Utilities
Deepak Nitrite Limited,DEEPAKNTR,Specialty Chemicals
Abbott India Limited,ABBOTINDIA,Pharmaceuticals
NMDC Limited,NMDC,Industrial Minerals
Jupiter Wagons Limited,JWL,Railway Wagons
SHREE CEMENT LIMITED,SHREECEM,Cement & Cement Products
Varun Beverages Limited,VBL,Other Beverages
Metropolis Healthcare Limited,METROPOLIS,Healthcare Service Provider
Marico Limited,MARICO,Edible Oil
Bikaji Foods International Limited,BIKAJI,Packaged Foods
Ambuja Cements Limited,AMBUJACEM,Cement & Cement Products
Siemens Energy India Limited,ENRIN,Heavy Electrical Equipment
EIH Limited,EIHOTEL,Hotels & Resorts
Adani Total Gas Limited,ATGL,LPG/CNG/PNG/LNG Supplier
IDFC First Bank Limited,IDFCFIRSTB,Private Sector Bank
Schaeffler India Limited,SCHAEFFLER,Auto Components & Equipments
Hindalco Industries Limited,HINDALCO,Aluminium
Emcure Pharmaceuticals Limited,EMCURE,Pharmaceuticals
BEML Limited,BEML,Construction Vehicles
Mahindra & Mahindra Financial Services Limited,M&MFIN,Non Banking Financial Company (NBFC)
Poonawalla Fincorp Limited,POONAWALLA,Non Banking Financial Company (NBFC)
Nuvoco Vistas Corporation Limited,NUVOCO,Cement & Cement Products
Bharat Heavy Electricals Limited,BHEL,Heavy Electrical Equipment
Sumitomo Chemical India Limited,SUMICHEM,Pesticides & Agrochemicals
Nestle India Limited,NESTLEIND,Packaged Foods
SAGILITY LIMITED,SAGILITY,IT Enabled Services
Akums Drugs and Pharmaceuticals Limited,AKUMS,Pharmaceuticals
Choice International Limited,CHOICEIN,Holding Company
Oberoi Realty Limited,OBEROIRLTY,Residential Commercial Projects
IDBI Bank Limited,IDBI,Private Sector Bank
Neuland Laboratories Limited,NEULANDLAB,Pharmaceuticals
Power Finance Corporation Limited,PFC,Financial Institution
Bharti Hexacom Limited,BHARTIHEXA,Telecom - Cellular & Fixed line services
Pidilite Industries Limited,PIDILITIND,Specialty Chemicals
RHI MAGNESITA INDIA LIMITED,RHIM,Electrodes & Refractories
Kfin Technologies Limited,KFINTECH,Depositories Clearing Houses and Other Intermediaries
REC Limited,RECLTD,Financial Institution
Kalyan Jewellers India Limited,KALYANKJIL,Gems Jewellery And Watches
Afcons Infrastructure Limited,AFCONS,Civil Construction
EID Parry India Limited,EIDPARRY,Other Food Products
Kirloskar Oil Engines Limited,KIRLOSENG,Compressors Pumps & Diesel Engines
Godrej Consumer Products Limited,GODREJCP,Personal Care
FSN E-Commerce Ventures Limited,NYKAA,E-Retail/ E-Commerce
Gland Pharma Limited,GLAND,Pharmaceuticals
Bayer Cropscience Limited,BAYERCROP,Pesticides & Agrochemicals
Finolex Industries Limited,FINPIPE,Plastic Products - Industrial
Wockhardt Limited,WOCKPHARMA,Pharmaceuticals
SWAN CORP LIMITED,SWANCORP,Petrochemicals
Rashtriya Chemicals and Fertilizers Limited,RCF,Fertilizers
Jubilant Pharmova Limited,JUBLPHARMA,Pharmaceuticals
FORCE MOTORS LTD,FORCEMOT,Passenger Cars & Utility Vehicles
Gujarat Gas Limited,GUJGASLTD,LPG/CNG/PNG/LNG Supplier
NTPC Limited,NTPC,Power Generation
Godfrey Phillips India Limited,GODFRYPHLP,Cigarettes & Tobacco Products
Mahanagar Gas Limited,MGL,LPG/CNG/PNG/LNG Supplier
Cipla Limited,CIPLA,Pharmaceuticals
NHPC Limited,NHPC,Power Generation
Tata Communications Limited,TATACOMM,Telecom - Cellular & Fixed line services
Vedanta Limited,VEDL,Diversified Metals
Hyundai Motor India Limited,HYUNDAI,Passenger Cars & Utility Vehicles
Thermax Limited,THERMAX,Heavy Electrical Equipment
Granules India Limited,GRANULES,Pharmaceuticals
Delhivery Limited,DELHIVERY,Logistics Solution Provider
United Spirits Limited,UNITDSPR,Breweries & Distilleries
Saregama India Limited,SAREGAMA,Media & Entertainment
Vijaya Diagnostic Centre Limited,VIJAYA,Healthcare Service Provider
Capri Global Capital Limited,CGCL,Non Banking Financial Company (NBFC)
K.P.R. Mill Limited,KPRMILL,Other Textile Products
PI Industries Limited,PIIND,Pesticides & Agrochemicals
Vardhman Textiles Limited,VTL,Other Textile Products
The Indian Hotels Company Limited,INDHOTEL,Hotels & Resorts
Mazagon Dock Shipbuilders Limited,MAZDOCK,Ship Building & Allied Services
Adani Enterprises Limited,ADANIENT,Trading - Minerals
Steel Authority of India Limited,SAIL,Iron & Steel
Oil & Natural Gas Corporation Limited,ONGC,Oil Exploration & Production
NMDC Steel Limited,NSLNISP,Iron & Steel
Cochin Shipyard Limited,COCHINSHIP,Ship Building & Allied Services
Cohance Lifesciences Limited,COHANCE,Pharmaceuticals
Data Patterns (India) Limited,DATAPATTNS,Aerospace & Defense
Blue Dart Express Limited,BLUEDART,Logistics Solution Provider
Maharashtra Scooters Limited,MAHSCOOTER,Investment Company
Gujarat State Petronet Limited,GSPL,Gas Transmission/Marketing
Godrej Industries Limited,GODREJIND,Diversified
Syrma SGS Technology Limited,SYRMA,Industrial Products
Syngene International Limited,SYNGENE,Healthcare Research Analytics & Technology
JSW Steel Limited,JSWSTEEL,Iron & Steel
Jyothy Labs Limited,JYOTHYLAB,Household Products
Pfizer Limited,PFIZER,Pharmaceuticals
IFCI Limited,IFCI,Financial Institution
Atul Limited,ATUL,Specialty Chemicals
Hindustan Unilever Limited,HINDUNILVR,Diversified FMCG
Tata Motors Passenger Vehicles Limited,TMPV,Passenger Cars & Utility Vehicles
Eicher Motors Limited,EICHERMOT,2/3 Wheelers
Siemens Limited,SIEMENS,Heavy Electrical Equipment
Kajaria Ceramics Limited,KAJARIACER,Ceramics
Godawari Power And Ispat limited,GPIL,Iron & Steel Products
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,Commodity Chemicals
Axis Bank Limited,AXISBANK,Private Sector Bank
Canara Bank,CANBK,Public Sector Bank
Sundaram Finance Limited,SUNDARMFIN,Non Banking Financial Company (NBFC)
Affle 3i Limited,AFFLE,IT Enabled Services
Vishal Mega Mart Limited,VMM,Diversified Retail
DOMS Industries Limited,DOMS,Stationary
LIC Housing Finance Limited,LICHSGFIN,Housing Finance Company
The Ramco Cements Limited,RAMCOCEM,Cement & Cement Products
Petronet LNG Limited,PETRONET,LPG/CNG/PNG/LNG Supplier
Sobha Limited,SOBHA,Residential Commercial Projects
Carborundum Universal Limited,CARBORUNIV,Abrasives & Bearings
Reliance Industries Limited,RELIANCE,Refineries & Marketing
UltraTech Cement Limited,ULTRACEMCO,Cement & Cement Products
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,Non Banking Financial Company (NBFC)
Dr. Reddy's Laboratories Limited,DRREDDY,Pharmaceuticals
Maharashtra Seamless Limited,MAHSEAMLES,Iron & Steel Products
Gravita India Limited,GRAVITA,Industrial Minerals
Adani Green Energy Limited,ADANIGREEN,Power Generation
Suzlon Energy Limited,SUZLON,Heavy Electrical Equipment
GAIL (India) Limited,GAIL,Gas Transmission/Marketing
Indian Overseas Bank,IOB,Public Sector Bank
Brigade Enterprises Limited,BRIGADE,Residential Commercial Projects
Aditya Birla Capital Limited,ABCAPITAL,Investment Company
Ventive Hospitality Limited,VENTIVE,Hotels & Resorts
3M India Limited,3MINDIA,Diversified
Laurus Labs Limited,LAURUSLABS,Pharmaceuticals
AWL Agri Business Limited,AWL,Edible Oil
Bharat Dynamics Limited,BDL,Aerospace & Defense
Tube Investments of India Limited,TIINDIA,Auto Components & Equipments
SRF Limited,SRF,Specialty Chemicals
Bharat Petroleum Corporation Limited,BPCL,Refineries & Marketing
DLF Limited,DLF,Residential Commercial Projects
Elecon Engineering Company Limited,ELECON,Heavy Electrical Equipment
NLC India Limited,NLCINDIA,Power Generation
Aadhar Housing Finance Limited,AADHARHFC,Housing Finance Company
Torrent Pharmaceuticals Limited,TORNTPHARM,Pharmaceuticals
Bajaj Housing Finance Limited,BAJAJHFL,Housing Finance Company
Bata India Limited,BATAINDIA,Footwear
AU Small Finance Bank Limited,AUBANK,Other Bank
Bank of India,BANKINDIA,Public Sector Bank
Hexaware Technologies Limited,HEXT,Computers - Software & Consulting
IndusInd Bank Limited,INDUSINDBK,Private Sector Bank
Coal India Limited,COALINDIA,Coal
Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare Service Provider
Mankind Pharma Limited,MANKIND,Pharmaceuticals
United Breweries Limited,UBL,Breweries & Distilleries
Jubilant Ingrevia Limited,JUBLINGREA,Specialty Chemicals
Solar Industries India Limited,SOLARINDS,Explosives
Muthoot Finance Limited,MUTHOOTFIN,Non Banking Financial Company (NBFC)
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA,Auto Components & Equipments
Hitachi Energy India Limited,POWERINDIA,Heavy Electrical Equipment
Larsen & Toubro Limited,LT,Civil Construction
Triveni Engineering & Industries Limited,TRIVENI,Sugar
UPL Limited,UPL,Pesticides & Agrochemicals
Aditya Birla Lifestyle Brands Limited,ABLBL,Speciality Retail
Tata Power Company Limited,TATAPOWER,Integrated Power Utilities
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,Pharmaceuticals
Patanjali Foods Limited,PATANJALI,Edible Oil
Kotak Mahindra Bank Limited,KOTAKBANK,Private Sector Bank
Radico Khaitan Limited,RADICO,Breweries & Distilleries
PG Electroplast Limited,PGEL,Consumer Electronics
Himadri Speciality Chemical Limited,HSCL,Carbon Black
Info Edge (India) Limited,NAUKRI,Internet & Catalogue Retail
Balkrishna Industries Limited,BALKRISIND,Tyres & Rubber Products
Godrej Agrovet Limited,GODREJAGRO,Animal Feed
Glenmark Pharmaceuticals Limited,GLENMARK,Pharmaceuticals
ITI Limited,ITI,Telecom - Equipment & Accessories
General Insurance Corporation of India,GICRE,General Insurance
The Phoenix Mills Limited,PHOENIXLTD,Residential Commercial Projects
Indraprastha Gas Limited,IGL,LPG/CNG/PNG/LNG Supplier
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,Fertilizers
Britannia Industries Limited,BRITANNIA,Packaged Foods
Crompton Greaves Consumer Electricals Limited,CROMPTON,Household Appliances
Apollo Hospitals Enterprise Limited,APOLLOHOSP,Hospital
The Federal Bank  Limited,FEDERALBNK,Private Sector Bank
Krishna Institute of Medical Sciences Limited,KIMS,Hospital
Hindustan Aeronautics Limited,HAL,Aerospace & Defense
Fortis Healthcare Limited,FORTIS,Hospital
BIRLASOFT LIMITED,BSOFT,Computers - Software & Consulting
ICICI Prudential Life Insurance Company Limited,ICICIPRULI,Life Insurance
Aegis Vopak Terminals Limited,AEGISVOPAK,Oil Storage & Transportation
Grasim Industries Limited,GRASIM,Cement & Cement Products
TBO Tek Limited,TBOTEK,Tour Travel Related Services
Trent Limited,TRENT,Speciality Retail
ACC Limited,ACC,Cement & Cement Products
Sona BLW Precision Forgings Limited,SONACOMS,Auto Components & Equipments
Tata Chemicals Limited,TATACHEM,Commodity Chemicals
Anand Rathi Wealth Limited,ANANDRATHI,Financial Products Distributor
State Bank of India,SBIN,Public Sector Bank
Indian Bank,INDIANB,Public Sector Bank
Page Industries Limited,PAGEIND,Garments & Apparels
Aurobindo Pharma Limited,AUROPHARMA,Pharmaceuticals
Jindal Saw Limited,JINDALSAW,Iron & Steel Products
Mahindra & Mahindra Limited,M&M,Passenger Cars & Utility Vehicles
Avenue Supermarts Limited,DMART,Diversified Retail
Honeywell Automation India Limited,HONAUT,Industrial Products
Gujarat Fluorochemicals Limited,FLUOROCHEM,Specialty Chemicals
Lupin Limited,LUPIN,Pharmaceuticals
SBI Cards and Payment Services Limited,SBICARD,Non Banking Financial Company (NBFC)
Godrej Properties Limited,GODREJPROP,Residential Commercial Projects
Oracle Financial Services Software Limited,OFSS,Software Products
Central Bank of India,CENTRALBK,Public Sector Bank
InterGlobe Aviation Limited,INDIGO,Airline
Signatureglobal (India) Limited,SIGNATURE,Residential Commercial Projects
Cyient Limited,CYIENT,IT Enabled Services
ICICI Lombard General Insurance Company Limited,ICICIGI,General Insurance
Devyani International Limited,DEVYANI,Restaurants
Manappuram Finance Limited,MANAPPURAM,Non Banking Financial Company (NBFC)
HDFC Asset Management Company Limited,HDFCAMC,Asset Management Company
PB Fintech Limited,POLICYBZR,Financial Technology (Fintech)
