ticker,name,sector,return_6mo,rally_start_date,quality,value,growth,momentum,overall,score_at_rally_start,score_at_1mo,score_at_3mo,score_current,trend_entries,trend_exits,super_uptrend_entries,avg_trend_duration_days,max_trend_duration_days,time_in_trend_pct,max_drawdown_pct,drawdown_peak_date,drawdown_trough_date,recovery_days,recovered,avg_volume_before,avg_volume_during,volume_increase_pct,volume_spike_days,max_volume_spike,volume_breakout_days,volume_breakout_accuracy,avg_gain_after_breakout,sideways_periods,total_sideways_days,sideways_pct_of_period,max_sideways_streak,avg_sideways_length,trailing_10_triggers,trailing_10_captured,trailing_15_triggers,trailing_15_captured,trailing_20_triggers,trailing_20_captured,early_return_pct,early_volatility,early_max_drawdown,early_avg_daily_range,early_days,mid_return_pct,mid_volatility,mid_max_drawdown,mid_avg_daily_range,mid_days,late_return_pct,late_volatility,late_max_drawdown,late_avg_daily_range,late_days
HINDCOPPER.NS,Hindustan Copper Limited,Metals & Mining,110.3,2025-05-12,8.5,3.8,10.0,10.0,8.1,,,20.0,100.0,2,1,3,52.0,95,80.8,-18.98,2025-07-02,2025-08-29,18.0,True,4960019,14517495,192.7,64,39.4,64,62.7,3.55,1,8,4.6,8,8.0,37,10.3,14,5.3,0,never_triggered,17.6,33.2,-7.1,3.39,43,27.2,45.9,-16.7,3.57,88,67.7,55.4,-7.9,4.18,44
ATHERENERG.NS,Ather Energy Limited,Auto,91.9,2025-07-14,1.5,0.0,,2.6,,65.0,65.0,53.0,25.0,2,2,0,60.0,105,92.3,-18.3,2025-10-21,2025-11-10,,False,1630162,3281781,101.3,44,17.2,44,65.9,2.6,0,0,0.0,0,0.0,34,93.9,14,84.3,0,never_triggered,25.1,55.5,-5.9,4.69,32,57.5,55.9,-18.3,5.66,65,-8.0,44.9,-16.5,4.35,33
NATIONALUM.NS,National Aluminium Company Limited,Metals & Mining,91.9,2025-05-14,10.0,7.0,9.1,10.0,9.0,,,18.0,,2,1,1,50.0,95,76.9,-9.15,2025-07-24,2025-08-01,32.0,True,16927889,10854899,-35.9,4,4.3,4,50.0,0.88,5,36,20.8,11,7.2,0,never_triggered,0,never_triggered,0,never_triggered,9.4,23.8,-5.1,2.61,43,42.3,31.6,-9.2,2.48,86,,36.0,-5.4,2.77,44
NETWEB.NS,Netweb Technologies India Limited,IT & Technology,68.3,2025-05-05,4.5,2.0,9.3,4.8,5.2,,,65.0,93.0,1,0,2,115.0,115,88.5,-30.64,2025-10-08,2026-01-02,,False,289408,1617784,459.0,98,48.3,98,48.4,2.07,0,0,0.0,0,0.0,78,12.6,53,126.5,49,106.0,13.7,42.6,-14.9,4.24,45,94.2,71.2,-24.3,5.63,90,-4.5,39.5,-12.1,3.95,45
VEDL.NS,Vedanta Limited,Metals & Mining,54.4,2024-12-05,7.7,5.0,3.5,10.0,6.6,,,,,2,1,3,58.0,105,88.5,-27.71,2024-12-12,2025-04-09,198.0,True,10536052,9814628,-6.8,14,4.3,14,53.8,1.26,6,44,15.7,10,7.3,156,-0.8,54,-6.9,15,-11.8,-4.5,36.5,-23.0,3.26,70,11.4,29.7,-21.6,2.46,140,,25.9,-6.5,2.31,70
ASHOKLEY.NS,Ashok Leyland Limited,Auto,50.8,2025-01-01,7.2,3.8,5.2,7.8,6.0,,,,100.0,1,0,2,130.0,130,100.0,-16.93,2025-01-02,2025-03-12,64.0,True,16553316,14766465,-10.8,16,5.5,16,31.2,-0.59,9,83,31.7,23,9.2,48,-5.5,7,-11.5,0,never_triggered,-5.8,39.4,-16.9,3.23,65,34.4,26.4,-8.7,2.3,131,37.0,26.7,-3.2,2.33,66
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,50.5,2024-12-10,5.0,4.8,5.3,10.0,6.3,,,,100.0,3,2,3,35.0,75,80.8,-21.24,2024-12-11,2025-01-27,51.0,True,6859620,6726386,-1.9,17,5.1,17,76.5,2.7,6,39,14.1,8,6.5,94,-9.7,31,-16.5,3,-18.9,-1.7,38.1,-21.2,3.66,69,0.3,34.4,-18.8,2.81,138,52.3,24.9,-4.6,2.4,70
HBLENGINE.NS,HBLENGINE.NS,Capital Goods,47.4,2025-04-11,7.6,5.5,9.2,3.3,6.4,,,,,1,1,1,60.0,60,46.2,-30.58,2025-11-10,2025-12-17,,False,2826685,2601911,-8.0,16,12.2,16,62.5,2.06,0,0,0.0,0,0.0,51,-4.7,35,86.1,22,75.4,15.5,45.8,-11.8,3.72,48,73.1,40.9,-12.2,3.59,96,,50.5,-30.6,4.21,49
HINDZINC.NS,Hindustan Zinc Limited,Metals & Mining,47.1,2025-03-17,9.5,5.7,5.2,9.9,7.6,,,,100.0,2,1,2,45.0,85,69.2,-20.67,2025-06-10,2025-08-01,133.0,True,1909068,5893323,208.7,87,74.4,87,52.4,0.57,5,48,22.9,16,9.6,85,-6.6,49,2.5,2,-2.7,7.7,40.1,-13.3,3.27,52,4.7,29.8,-20.7,2.41,105,35.7,35.9,-8.3,2.57,53
MCX.NS,Multi Commodity Exchange of India Limited,Financial Services,47.1,2025-04-11,9.7,1.5,10.0,10.0,7.8,,,,100.0,1,0,3,130.0,130,100.0,-18.13,2025-07-01,2025-08-29,46.0,True,2093092,2897249,38.4,31,6.6,31,73.3,2.84,3,16,8.3,6,5.3,43,47.9,12,41.4,0,never_triggered,48.6,41.6,-9.7,3.45,48,14.2,33.4,-18.1,2.81,96,30.3,31.6,-5.4,2.8,49
MUTHOOTFIN.NS,Muthoot Finance Limited,Financial Services,46.8,2025-03-12,6.8,5.7,10.0,8.5,7.8,,,,,1,0,1,130.0,130,100.0,-16.53,2025-03-19,2025-04-11,56.0,True,563726,711355,26.2,23,15.5,23,60.9,1.68,7,67,31.6,20,9.6,19,-3.1,2,-8.7,0,never_triggered,1.8,43.3,-16.5,3.32,53,42.8,26.7,-6.7,2.27,106,,29.6,-3.9,1.96,53
IDEA.NS,Vodafone Idea Limited,Telecom,45.2,2024-12-31,,0.8,,5.7,,,,,,1,0,1,90.0,90,69.2,-38.13,2025-01-20,2025-08-14,74.0,True,436184446,487589426,11.8,20,2.5,20,55.6,0.55,0,0,0.0,0,0.0,172,12.0,153,5.7,133,-0.3,3.5,65.0,-31.6,5.06,65,2.1,51.8,-24.9,4.16,132,,53.0,-12.4,4.76,66
JKTYRE.NS,JK Tyre & Industries Limited,Auto,42.4,2025-04-15,4.0,8.0,7.1,7.2,6.6,,,94.0,100.0,2,1,2,52.0,95,80.8,-20.02,2025-05-21,2025-08-14,64.0,True,566879,1201716,112.0,54,54.5,54,59.3,0.81,1,6,3.1,6,6.0,35,17.5,19,10.4,1,4.6,13.7,41.6,-13.0,3.46,48,33.0,28.6,-16.3,2.79,96,11.4,27.8,-6.1,2.93,48
HINDALCO.NS,Hindalco Industries Limited,Metals & Mining,41.0,2025-02-17,8.3,8.2,8.5,9.3,8.6,,,,,1,0,1,130.0,130,100.0,-20.42,2025-03-20,2025-04-07,133.0,True,5736340,5305502,-7.5,9,6.1,9,100.0,4.55,11,112,49.1,21,10.2,26,-1.8,4,-1.8,2,-8.0,8.3,36.8,-20.4,2.75,57,30.1,19.4,-4.8,1.91,114,,24.2,-10.1,1.91,57
LTF.NS,L&T Finance Limited,Financial Services,40.5,2025-01-27,3.0,4.8,4.4,4.1,4.1,,,,,1,0,2,130.0,130,100.0,-13.46,2025-02-05,2025-02-18,31.0,True,7926098,6626235,-16.4,13,8.9,13,46.2,-0.27,7,62,25.4,14,8.9,9,-3.2,0,never_triggered,0,never_triggered,18.4,34.2,-13.5,3.45,61,62.2,27.9,-8.3,2.67,122,,32.0,-9.9,2.6,61
GPIL.NS,Godawari Power & Ispat Limited,Metals & Mining,38.2,2025-03-19,7.4,5.7,2.3,8.2,5.9,,,,99.0,1,0,2,125.0,125,96.2,-19.97,2025-10-31,2025-12-08,,False,2327129,2535851,9.0,18,19.5,18,55.6,-0.97,1,5,2.4,5,5.0,55,-0.4,18,32.7,0,never_triggered,4.5,48.3,-14.2,4.04,52,49.2,34.9,-10.8,3.28,104,-5.2,36.2,-18.6,3.33,52
INDIACEM.NS,The India Cements Limited,Cement & Materials,37.9,2024-12-23,4.3,3.2,,9.0,,,,,44.0,1,1,2,80.0,80,61.5,-35.17,2024-12-30,2025-02-27,175.0,True,849148,1063619,25.3,34,22.8,34,38.2,-1.5,3,39,14.6,15,13.0,104,-12.7,85,-12.7,62,-19.4,-24.3,49.3,-35.2,3.9,67,41.7,34.0,-13.0,3.27,134,24.4,34.2,-9.9,3.28,67
CANBK.NS,Canara Bank,Banking,37.4,2025-03-27,,7.3,6.7,8.8,,,,,100.0,1,0,2,130.0,130,100.0,-11.28,2025-07-16,2025-08-29,21.0,True,23402645,26787074,14.5,17,4.0,17,70.6,1.27,6,57,28.2,14,9.5,3,20.9,0,never_triggered,0,never_triggered,30.6,31.5,-8.2,2.91,50,25.0,25.0,-11.3,2.28,101,12.8,20.9,-6.0,2.24,51
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,Financial Services,35.0,2025-01-30,2.6,7.9,9.7,4.8,6.3,,,,,2,1,1,50.0,90,76.9,-20.37,2025-02-05,2025-05-09,159.0,True,2460093,2827731,14.9,31,8.8,31,41.9,0.59,3,26,10.8,12,8.7,84,-3.7,6,-8.7,1,-14.1,-5.3,32.4,-15.3,3.1,60,17.8,26.1,-10.0,2.41,120,,39.6,-13.8,3.62,61
EICHERMOT.NS,Eicher Motors Limited,Auto,34.1,2025-01-01,9.0,4.5,8.8,5.5,7.0,,,,,1,0,2,130.0,130,100.0,-14.25,2025-02-03,2025-02-14,60.0,True,539992,488687,-9.5,10,5.3,10,50.0,0.29,9,138,52.7,37,15.3,11,-0.7,0,never_triggered,0,never_triggered,10.1,32.1,-14.3,2.48,65,32.9,19.6,-8.6,1.92,131,,17.5,-4.9,1.76,66
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,Metals & Mining,33.8,2025-04-11,6.7,6.6,5.7,6.0,6.3,,,,98.0,1,0,4,130.0,130,100.0,-25.5,2025-10-09,2025-11-24,,False,1382297,5421108,292.2,100,38.5,100,49.0,0.33,0,0,0.0,0,0.0,48,7.3,21,38.3,8,80.4,41.2,46.3,-10.9,4.11,48,55.4,57.1,-16.6,4.78,96,-6.3,50.6,-21.7,4.63,49
INDIANB.NS,Indian Bank,Banking,33.3,2025-03-19,,7.2,6.6,8.2,,,,,,1,0,3,130.0,130,100.0,-13.14,2025-11-17,2025-12-16,,False,1594705,2018328,26.6,30,6.6,30,58.6,0.62,8,76,36.5,16,9.5,16,52.1,0,never_triggered,0,never_triggered,19.9,31.1,-5.8,3.12,52,41.1,22.9,-5.8,2.21,104,,29.4,-13.1,2.42,52
BANKINDIA.NS,Bank of India Limited,Banking,33.3,2025-01-28,,8.2,4.9,9.6,,,,,,1,0,4,130.0,130,100.0,-16.49,2025-01-31,2025-03-12,22.0,True,7414223,9307677,25.5,29,7.1,29,64.3,0.9,9,84,34.6,14,9.3,36,-7.6,8,-13.1,0,never_triggered,8.1,40.1,-16.5,3.47,60,14.6,25.5,-12.4,2.43,122,,24.4,-7.2,2.37,61
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,32.3,2025-03-19,0.5,4.5,0.9,8.2,3.6,,,,100.0,1,0,2,130.0,130,100.0,-11.4,2025-07-01,2025-07-30,6.0,True,4375133,5252604,20.1,23,7.3,23,73.9,2.69,6,48,23.1,14,8.0,3,47.8,0,never_triggered,0,never_triggered,31.9,38.0,-7.7,3.17,52,42.0,31.6,-11.4,2.74,104,8.6,22.3,-5.4,2.31,52
MARUTI.NS,Maruti Suzuki India Limited,Auto,31.6,2025-01-01,5.5,3.8,4.7,3.2,4.3,,,,73.0,1,0,2,130.0,130,100.0,-13.78,2025-02-03,2025-04-07,133.0,True,508345,386159,-24.0,4,4.2,4,75.0,1.7,11,165,63.0,40,15.0,30,5.1,0,never_triggered,0,never_triggered,4.3,22.8,-12.6,2.02,65,43.2,21.0,-6.7,1.8,131,-1.6,16.0,-7.7,1.51,66
LAURUSLABS.NS,Laurus Labs Limited,Pharma & Healthcare,31.6,2025-01-30,7.9,4.4,10.0,8.4,7.7,,,,,1,0,2,130.0,130,100.0,-18.69,2025-02-07,2025-02-21,60.0,True,2767928,2178254,-21.3,9,6.7,9,44.4,0.52,5,42,17.4,11,8.4,21,-7.2,6,-8.8,0,never_triggered,2.6,43.5,-18.7,3.96,60,49.4,27.7,-10.7,2.61,120,,21.6,-7.6,2.29,61
CUB.NS,City Union Bank Limited,Banking,31.5,2025-04-11,10.0,5.9,7.0,6.4,7.3,,,,100.0,1,0,2,130.0,130,100.0,-15.02,2025-07-01,2025-09-04,49.0,True,3559906,2554728,-28.2,7,11.0,7,57.1,-0.51,3,24,12.4,10,8.0,21,22.6,1,17.3,0,never_triggered,14.3,30.5,-7.5,2.97,48,34.5,34.4,-15.0,3.08,96,9.7,38.0,-12.0,3.45,49
HEROMOTOCO.NS,Hero MotoCorp Limited,Auto,30.7,2025-04-21,8.7,6.3,7.8,3.8,6.7,,,87.0,,1,0,3,130.0,130,100.0,-12.35,2025-12-05,2025-12-29,,False,648113,761950,17.6,16,12.8,16,75.0,2.6,8,73,38.6,16,9.1,7,47.7,0,never_triggered,0,never_triggered,9.8,26.7,-5.5,2.51,47,27.2,25.1,-6.2,2.15,94,,23.0,-12.4,2.01,48
TVSMOTOR.NS,TVS Motor Company Limited,Auto,30.1,2025-01-29,8.7,3.4,10.0,5.1,6.8,,,,,1,0,3,130.0,130,100.0,-16.14,2025-02-03,2025-02-28,48.0,True,778053,797110,2.4,13,4.8,13,61.5,0.89,8,76,31.4,19,9.5,22,-4.0,2,-9.7,0,never_triggered,10.1,32.4,-16.1,3.25,60,36.9,21.9,-6.3,2.09,121,,18.8,-7.0,1.91,61
UNIONBANK.NS,Union Bank of India,Banking,29.9,2025-02-19,,6.1,2.7,10.0,,,,,100.0,1,0,2,135.0,135,100.0,-16.95,2025-06-09,2025-08-29,66.0,True,11738064,12727157,8.4,22,7.5,22,76.2,1.51,5,43,19.0,13,8.6,35,2.6,6,14.3,0,never_triggered,15.8,44.2,-12.0,3.55,56,11.0,26.1,-17.0,2.51,113,21.0,29.4,-5.3,2.51,57
AUBANK.NS,AU Small Finance Bank Limited,Banking,29.7,2025-01-15,,2.5,4.1,8.4,,,,,,1,1,2,115.0,115,88.5,-19.23,2025-02-03,2025-03-17,35.0,True,2316421,2945608,27.2,31,8.9,31,58.1,1.61,9,69,27.4,11,7.7,73,-8.9,15,-14.4,0,never_triggered,-0.1,39.5,-19.2,3.41,63,27.2,27.0,-17.1,2.47,126,,18.6,-4.2,1.96,63
PAYTM.NS,One97 Communications Limited,Financial Services,29.0,2025-03-24,0.5,0.0,5.4,7.7,3.4,,,,,1,0,2,130.0,130,100.0,-13.14,2025-09-03,2025-09-29,21.0,True,8916982,4860378,-45.5,7,5.8,7,42.9,2.09,4,27,13.2,10,6.8,9,6.5,0,never_triggered,0,never_triggered,26.6,41.5,-10.0,3.8,51,31.9,30.6,-13.1,2.88,102,,28.4,-7.8,2.48,52
KIRLOSENG.NS,Kirloskar Oil Engines Limited,Capital Goods,27.4,2025-04-11,3.2,5.8,8.9,6.5,6.1,,,,99.0,1,0,3,130.0,130,100.0,-14.18,2025-12-22,2026-01-12,,False,359584,593165,65.0,24,31.6,24,41.7,-0.05,2,18,9.3,10,9.0,10,-7.8,0,never_triggered,0,never_triggered,16.5,51.3,-11.6,3.67,48,14.4,36.0,-11.6,3.13,96,24.4,49.7,-14.2,4.05,49
BANKBARODA.NS,Bank of Baroda Limited,Banking,26.4,2025-03-20,,6.8,2.4,8.6,,,,,100.0,1,0,3,130.0,130,100.0,-14.2,2025-04-29,2025-05-08,25.0,True,11699191,9579094,-18.1,5,4.6,5,60.0,1.08,11,94,45.4,15,8.5,5,3.8,0,never_triggered,0,never_triggered,16.2,35.6,-14.2,2.8,51,17.0,20.4,-6.6,2.04,104,8.1,19.6,-4.7,2.04,52
ECLERX.NS,eClerx Services Limited,IT & Technology,25.6,2025-05-13,6.8,5.5,8.5,7.6,7.1,,,100.0,100.0,1,0,2,130.0,130,100.0,-13.38,2025-09-02,2025-10-03,24.0,True,118969,121357,2.0,14,19.5,14,57.1,1.34,1,5,2.9,5,5.0,12,49.8,0,never_triggered,0,never_triggered,26.1,44.4,-8.7,3.54,43,26.4,43.3,-13.4,3.96,87,2.2,35.6,-10.1,3.24,44
PHOENIXLTD.NS,The Phoenix Mills Limited,Real Estate,25.3,2024-12-23,6.8,2.0,5.7,6.0,5.1,,,,98.0,2,1,1,40.0,75,61.5,-22.22,2025-02-03,2025-08-08,133.0,True,745524,691777,-7.2,17,7.4,17,47.1,-0.4,5,40,14.9,10,8.0,163,-6.5,59,-11.9,10,-12.2,0.3,48.1,-17.0,4.55,67,-1.1,31.7,-15.8,2.94,134,15.1,18.8,-5.4,2.25,67
SBIN.NS,State Bank of India,Banking,24.8,2025-03-19,,5.1,4.2,8.5,,,,,,1,0,3,130.0,130,100.0,-6.49,2025-04-22,2025-05-08,22.0,True,12264003,10187800,-16.9,5,2.2,5,60.0,-0.3,4,168,80.8,87,42.0,0,never_triggered,0,never_triggered,0,never_triggered,10.3,23.7,-6.5,2.06,52,17.8,14.0,-4.5,1.34,104,,13.4,-3.6,1.32,52
PTCIL.NS,PTC Industries Limited,Capital Goods,24.0,2024-12-23,4.5,2.0,6.8,7.7,5.2,,,,100.0,3,2,2,40.0,90,92.3,-41.68,2025-01-09,2025-02-25,244.0,True,12853,19732,53.5,59,12.6,59,50.8,0.58,2,25,9.3,16,12.5,172,24.8,124,15.5,58,10.6,19.7,59.9,-41.7,5.52,67,9.9,40.0,-18.1,3.88,134,8.6,25.0,-10.6,2.8,67
TITAN.NS,Titan Company Limited,Consumer Goods,23.0,2024-12-05,7.2,3.5,9.1,8.1,7.0,,,,,1,0,2,130.0,130,100.0,-16.98,2025-02-04,2025-04-01,44.0,True,1202599,928687,-22.8,9,6.3,9,55.6,1.81,10,159,56.8,53,15.9,39,-6.1,11,-11.4,0,never_triggered,-12.5,22.3,-16.3,2.31,70,18.5,21.4,-10.3,1.84,140,,15.8,-4.2,1.55,70
GRANULES.NS,Granules India Limited,Pharma & Healthcare,21.6,2024-12-06,7.5,7.1,9.8,5.4,7.4,,,,,1,1,3,75.0,75,57.7,-30.03,2025-01-07,2025-04-09,258.0,True,3630217,1311258,-63.9,1,4.7,1,100.0,3.89,4,35,12.5,14,8.8,175,-5.4,129,-10.3,80,-19.8,-18.2,38.4,-25.0,3.67,69,12.7,32.6,-18.8,3.05,140,,22.7,-7.2,2.53,70
NAVINFLUOR.NS,Navin Fluorine International Limited,Chemicals,21.5,2025-01-07,10.0,4.5,9.5,8.5,8.1,,,,100.0,1,0,3,130.0,130,100.0,-12.28,2025-07-30,2025-09-29,32.0,True,156636,207512,32.5,25,33.5,25,60.0,1.27,3,22,8.5,9,7.3,15,9.5,0,never_triggered,0,never_triggered,10.6,37.7,-11.5,3.81,64,22.9,25.6,-12.3,2.98,129,19.5,39.2,-8.4,2.9,65
CRAFTSMAN.NS,Craftsman Automation Limited,Auto,20.2,2024-12-24,3.4,3.0,8.5,8.9,6.0,,,,100.0,1,0,2,130.0,130,100.0,-27.38,2024-12-27,2025-02-14,97.0,True,65446,55645,-15.0,20,7.8,20,45.0,1.06,2,18,6.7,13,9.0,67,-7.5,36,-12.3,22,-17.3,-7.9,42.2,-27.4,3.9,66,33.1,33.6,-12.0,3.52,134,20.9,33.9,-7.2,3.07,67
RBLBANK.NS,RBL Bank Limited,Banking,19.9,2025-01-30,,6.0,0.8,6.4,,,,,,1,0,3,130.0,130,100.0,-11.64,2025-02-05,2025-02-18,34.0,True,10625126,10352436,-2.6,23,9.6,23,69.6,2.41,4,32,13.3,11,8.0,1,-7.1,0,never_triggered,0,never_triggered,23.3,46.1,-11.6,3.86,60,62.1,34.7,-6.8,3.34,120,,20.8,-9.7,2.37,61
KARURVYSYA.NS,The Karur Vysya Bank Limited,Banking,19.9,2025-01-29,10.0,6.3,7.2,8.2,7.9,,,,100.0,1,0,2,130.0,130,100.0,-21.62,2025-01-31,2025-03-13,81.0,True,2693926,2568950,-4.6,20,6.0,20,45.0,0.4,5,47,19.4,16,9.4,38,-6.5,11,-11.9,1,-18.2,-4.6,33.0,-21.6,3.15,60,36.0,28.3,-10.2,2.79,121,9.1,25.3,-5.0,2.62,61
ADANIPOWER.NS,Adani Power Limited,Power & Utilities,19.7,2025-01-14,9.4,4.3,0.9,3.4,4.5,,,,67.0,1,0,2,130.0,130,100.0,-18.59,2025-10-21,2025-12-08,,False,36252591,32757681,-9.6,19,11.9,19,42.1,-1.78,3,27,10.7,12,9.0,94,-7.5,29,-12.5,0,never_triggered,1.6,33.3,-16.5,4.08,63,43.1,48.7,-15.1,3.44,126,-13.5,24.2,-18.6,2.5,64
ANANDRATHI.NS,Anand Rathi Wealth Limited,Financial Services,19.5,2025-02-20,7.6,1.8,9.9,5.3,6.1,,,,100.0,1,0,2,130.0,130,100.0,-20.21,2025-03-03,2025-03-12,96.0,True,152123,270746,78.0,44,44.9,44,66.7,0.5,5,43,19.1,18,8.6,58,-4.0,21,-9.9,1,-14.4,-4.8,34.0,-20.2,3.92,56,75.7,35.6,-8.3,3.12,112,1.3,16.6,-9.6,2.25,57
FORCEMOT.NS,Force Motors Limited,Auto,19.4,2025-02-19,10.0,6.3,9.2,10.0,8.9,,,,100.0,1,0,5,135.0,135,100.0,-29.96,2025-08-21,2025-10-09,,False,40570,111458,174.7,112,30.5,112,60.0,2.03,0,0,0.0,0,0.0,89,115.6,75,170.6,39,154.8,63.9,59.6,-9.5,4.68,56,55.2,56.9,-30.0,4.89,113,21.7,37.0,-11.9,3.51,57
ASIANPAINT.NS,Asian Paints Limited,Cement & Materials,18.6,2025-03-19,10.0,3.1,6.6,4.7,6.1,,,,73.0,1,0,2,120.0,120,92.3,-10.41,2025-08-18,2025-10-14,23.0,True,1286128,1170677,-9.0,11,5.5,11,54.5,1.36,11,141,67.8,24,12.8,2,3.0,0,never_triggered,0,never_triggered,-1.6,18.1,-9.1,2.02,52,11.8,17.6,-10.4,1.71,104,12.8,24.7,-7.5,1.77,52
BHARATFORG.NS,Bharat Forge Limited,Auto,18.5,2025-03-19,5.2,2.0,6.3,8.1,5.4,,,,100.0,2,1,1,42.0,75,65.4,-20.79,2025-03-24,2025-04-07,36.0,True,1026946,1213746,18.2,27,9.0,27,63.0,0.93,7,59,28.4,11,8.4,41,-9.7,14,-16.2,1,-16.2,11.8,43.3,-20.8,3.23,52,2.7,26.3,-17.3,2.47,104,10.6,20.6,-5.0,2.07,52
NYKAA.NS,FSN E-Commerce Ventures Limited,Retail,18.5,2025-01-31,3.2,2.0,10.0,4.3,4.9,,,,75.0,1,0,4,130.0,130,100.0,-11.27,2025-02-04,2025-02-28,28.0,True,7382239,7849608,6.3,18,26.2,18,77.8,1.8,4,24,10.0,7,6.0,3,-4.9,0,never_triggered,0,never_triggered,15.2,27.6,-11.3,3.24,60,29.3,28.8,-8.1,2.72,120,1.3,23.8,-10.0,2.43,60
